Running on: ivm-a40-q-2
Skipping import of cpp extensions due to incompatible torch version 2.10.0+cu128 for torchao version 0.15.0             Please see https://github.com/pytorch/ao/issues/2919 for more info
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.10.8: Fast Qwen3 patching. Transformers: 4.56.2.
   \\   /|    NVIDIA A40. Num GPUs = 1. Max memory: 44.448 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.10.0+cu128. CUDA: 8.6. CUDA Toolkit: 12.8. Triton: 3.6.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.34. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:02<00:07,  2.67s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:05<00:05,  2.59s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:07<00:02,  2.57s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  1.87s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:08<00:00,  2.14s/it]
Using EOS token as prompt.
Saved 100/10000 samples (11.2s elapsed, 0.11s/sample)
Saved 200/10000 samples (18.4s elapsed, 0.09s/sample)
Saved 300/10000 samples (26.9s elapsed, 0.09s/sample)
Saved 400/10000 samples (35.7s elapsed, 0.09s/sample)
Saved 500/10000 samples (44.4s elapsed, 0.09s/sample)
Saved 600/10000 samples (51.6s elapsed, 0.09s/sample)
Saved 700/10000 samples (60.5s elapsed, 0.09s/sample)
Saved 800/10000 samples (69.1s elapsed, 0.09s/sample)
Saved 900/10000 samples (79.0s elapsed, 0.09s/sample)
Saved 1000/10000 samples (86.4s elapsed, 0.09s/sample)
Saved 1100/10000 samples (94.3s elapsed, 0.09s/sample)
Saved 1200/10000 samples (103.1s elapsed, 0.09s/sample)
Saved 1300/10000 samples (134.4s elapsed, 0.10s/sample)
Saved 1400/10000 samples (142.4s elapsed, 0.10s/sample)
Saved 1500/10000 samples (150.8s elapsed, 0.10s/sample)
Saved 1600/10000 samples (158.8s elapsed, 0.10s/sample)
Saved 1700/10000 samples (167.2s elapsed, 0.10s/sample)
Saved 1800/10000 samples (176.1s elapsed, 0.10s/sample)
Saved 1900/10000 samples (183.0s elapsed, 0.10s/sample)
Saved 2000/10000 samples (190.4s elapsed, 0.10s/sample)
Saved 2100/10000 samples (199.6s elapsed, 0.10s/sample)
Saved 2200/10000 samples (206.2s elapsed, 0.09s/sample)
Saved 2300/10000 samples (215.0s elapsed, 0.09s/sample)
Saved 2400/10000 samples (223.5s elapsed, 0.09s/sample)
Saved 2500/10000 samples (233.6s elapsed, 0.09s/sample)
Saved 2600/10000 samples (242.7s elapsed, 0.09s/sample)
Saved 2700/10000 samples (251.3s elapsed, 0.09s/sample)
Saved 2800/10000 samples (281.6s elapsed, 0.10s/sample)
Saved 2900/10000 samples (290.5s elapsed, 0.10s/sample)
Saved 3000/10000 samples (299.5s elapsed, 0.10s/sample)
Saved 3100/10000 samples (308.0s elapsed, 0.10s/sample)
Saved 3200/10000 samples (317.1s elapsed, 0.10s/sample)
Saved 3300/10000 samples (327.4s elapsed, 0.10s/sample)
Saved 3400/10000 samples (334.9s elapsed, 0.10s/sample)
Saved 3500/10000 samples (344.3s elapsed, 0.10s/sample)
Saved 3600/10000 samples (352.5s elapsed, 0.10s/sample)
Saved 3700/10000 samples (362.6s elapsed, 0.10s/sample)
Saved 3800/10000 samples (371.9s elapsed, 0.10s/sample)
Saved 3900/10000 samples (380.8s elapsed, 0.10s/sample)
Saved 4000/10000 samples (387.9s elapsed, 0.10s/sample)
Saved 4100/10000 samples (395.2s elapsed, 0.10s/sample)
Saved 4200/10000 samples (405.1s elapsed, 0.10s/sample)
Saved 4300/10000 samples (413.1s elapsed, 0.10s/sample)
Saved 4400/10000 samples (420.9s elapsed, 0.10s/sample)
Saved 4500/10000 samples (431.1s elapsed, 0.10s/sample)
Saved 4600/10000 samples (440.0s elapsed, 0.10s/sample)
Saved 4700/10000 samples (448.1s elapsed, 0.10s/sample)
Saved 4800/10000 samples (456.8s elapsed, 0.10s/sample)
Saved 4900/10000 samples (466.1s elapsed, 0.10s/sample)
Saved 5000/10000 samples (475.3s elapsed, 0.10s/sample)
Saved 5100/10000 samples (484.9s elapsed, 0.10s/sample)
Saved 5200/10000 samples (493.4s elapsed, 0.09s/sample)
Saved 5300/10000 samples (503.5s elapsed, 0.10s/sample)
Saved 5400/10000 samples (510.7s elapsed, 0.09s/sample)
Saved 5500/10000 samples (520.3s elapsed, 0.09s/sample)
Saved 5600/10000 samples (528.7s elapsed, 0.09s/sample)
Saved 5700/10000 samples (538.8s elapsed, 0.09s/sample)
Saved 5800/10000 samples (546.9s elapsed, 0.09s/sample)
Saved 5900/10000 samples (559.0s elapsed, 0.09s/sample)
Saved 6000/10000 samples (567.6s elapsed, 0.09s/sample)
Saved 6100/10000 samples (578.5s elapsed, 0.09s/sample)
Saved 6200/10000 samples (588.2s elapsed, 0.09s/sample)
Saved 6300/10000 samples (598.4s elapsed, 0.09s/sample)
Saved 6400/10000 samples (606.4s elapsed, 0.09s/sample)
Saved 6500/10000 samples (616.2s elapsed, 0.09s/sample)
Saved 6600/10000 samples (624.5s elapsed, 0.09s/sample)
Saved 6700/10000 samples (632.9s elapsed, 0.09s/sample)
Saved 6800/10000 samples (641.9s elapsed, 0.09s/sample)
Saved 6900/10000 samples (651.0s elapsed, 0.09s/sample)
Saved 7000/10000 samples (659.9s elapsed, 0.09s/sample)
Saved 7100/10000 samples (667.4s elapsed, 0.09s/sample)
Saved 7200/10000 samples (676.4s elapsed, 0.09s/sample)
Saved 7300/10000 samples (685.2s elapsed, 0.09s/sample)
Saved 7400/10000 samples (693.5s elapsed, 0.09s/sample)
Saved 7500/10000 samples (702.2s elapsed, 0.09s/sample)
Saved 7600/10000 samples (709.9s elapsed, 0.09s/sample)
Saved 7700/10000 samples (719.4s elapsed, 0.09s/sample)
Saved 7800/10000 samples (726.6s elapsed, 0.09s/sample)
Saved 7900/10000 samples (734.4s elapsed, 0.09s/sample)
Saved 8000/10000 samples (741.9s elapsed, 0.09s/sample)
Saved 8100/10000 samples (750.8s elapsed, 0.09s/sample)
Saved 8200/10000 samples (759.1s elapsed, 0.09s/sample)
Saved 8300/10000 samples (769.5s elapsed, 0.09s/sample)
Saved 8400/10000 samples (777.9s elapsed, 0.09s/sample)
Saved 8500/10000 samples (786.8s elapsed, 0.09s/sample)
Saved 8600/10000 samples (794.5s elapsed, 0.09s/sample)
Saved 8700/10000 samples (803.0s elapsed, 0.09s/sample)
Saved 8800/10000 samples (810.7s elapsed, 0.09s/sample)
Saved 8900/10000 samples (821.2s elapsed, 0.09s/sample)
Saved 9000/10000 samples (830.1s elapsed, 0.09s/sample)
Saved 9100/10000 samples (838.5s elapsed, 0.09s/sample)
Saved 9200/10000 samples (846.3s elapsed, 0.09s/sample)
Saved 9300/10000 samples (855.1s elapsed, 0.09s/sample)
Saved 9400/10000 samples (863.5s elapsed, 0.09s/sample)
Saved 9500/10000 samples (870.5s elapsed, 0.09s/sample)
Saved 9600/10000 samples (880.1s elapsed, 0.09s/sample)
Saved 9700/10000 samples (890.8s elapsed, 0.09s/sample)
Saved 9800/10000 samples (899.0s elapsed, 0.09s/sample)
Saved 9900/10000 samples (906.9s elapsed, 0.09s/sample)
Saved 10000/10000 samples (915.4s elapsed, 0.09s/sample)

Done. Generated 10000 samples in 915.4s (0.09s/sample). Saved to /home/e12229987/synthetic-cover-text-generator/generated_samples/samples_3.txt
Finished.
